,fips,valid_start,valid_end,none,d0,d1,d2,d4,diff
128,1019,2014-04-01,2014-04-07,98.17,1.83,0.0,0.0,0.0,6 days 00:00:00.000000000
129,1019,2014-06-03,2014-06-30,383.85,16.15,0.0,0.0,0.0,27 days 00:00:00.000000000
130,1019,2014-09-02,2014-10-13,571.37,28.63,0.0,0.0,0.0,41 days 00:00:00.000000000
131,1019,2014-11-11,2014-11-17,75.13,24.87,0.0,0.0,0.0,6 days 00:00:00.000000000
132,1019,2015-01-20,2015-04-27,842.8199999999999,557.18,0.0,0.0,0.0,97 days 00:00:00.000000000
133,1019,2015-05-12,2015-06-01,159.67,140.33,0.0,0.0,0.0,20 days 00:00:00.000000000
134,1019,2015-06-23,2015-10-26,339.75,1067.7700000000002,392.48,0.0,0.0,125 days 00:00:00.000000000
135,1019,2016-05-03,2017-05-22,217.95,379.19000000000005,1183.1899999999996,2101.5099999999998,1043.7099999999998,384 days 00:00:00.000000000
136,1019,2017-09-05,2017-09-11,87.84,12.16,0.0,0.0,0.0,6 days 00:00:00.000000000
137,1019,2017-11-28,2018-01-01,279.45,220.55,0.0,0.0,0.0,34 days 00:00:00.000000000
138,1021,2010-07-06,2013-02-25,3552.6899999999987,4547.080000000003,2711.350000000001,2018.9899999999996,0.0,965 days 00:00:00.000000000
139,1021,2013-06-11,2013-07-15,32.70000000000001,467.3,0.0,0.0,0.0,34 days 00:00:00.000000000
140,1021,2013-10-01,2013-10-07,68.88,31.12,0.0,0.0,0.0,6 days 00:00:00.000000000
141,1021,2014-03-11,2014-04-07,109.51999999999998,290.48,0.0,0.0,0.0,27 days 00:00:00.000000000
142,1021,2014-07-22,2015-01-05,205.04999999999998,1781.7699999999995,413.17999999999995,0.0,0.0,167 days 00:00:00.000000000
143,1021,2015-01-20,2015-04-20,968.0900000000004,331.91,0.0,0.0,0.0,90 days 00:00:00.000000000
144,1021,2015-05-12,2015-06-01,195.25,104.75,0.0,0.0,0.0,20 days 00:00:00.000000000
145,1021,2015-08-04,2015-11-09,415.93,984.07,0.0,0.0,0.0,97 days 00:00:00.000000000
146,1021,2016-06-07,2017-05-22,640.3899999999999,1634.9399999999994,1425.2000000000003,507.69,189.66000000000003,349 days 00:00:00.000000000
147,1021,2017-11-28,2018-01-01,0.0,500.0,0.0,0.0,0.0,34 days 00:00:00.000000000
148,1023,2010-04-27,2010-05-03,63.29,36.71,0.0,0.0,0.0,6 days 00:00:00.000000000
149,1023,2010-07-27,2010-08-23,367.71000000000004,32.29,0.0,0.0,0.0,27 days 00:00:00.000000000
150,1023,2010-09-14,2011-04-04,224.18,343.68999999999994,1954.97,377.20000000000005,0.0,202 days 00:00:00.000000000
151,1023,2011-04-26,2011-08-08,323.17,725.6399999999999,374.11999999999995,77.08,0.0,104 days 00:00:00.000000000
152,1023,2011-08-30,2011-09-05,97.3,2.7,0.0,0.0,0.0,6 days 00:00:00.000000000
153,1023,2011-10-25,2012-01-23,291.71000000000004,896.5600000000001,111.73,0.0,0.0,90 days 00:00:00.000000000
154,1023,2012-02-07,2012-03-26,604.1299999999999,95.73000000000002,0.14,0.0,0.0,48 days 00:00:00.000000000
155,1023,2012-05-01,2012-06-11,388.96999999999997,211.03,0.0,0.0,0.0,41 days 00:00:00.000000000
156,1023,2012-06-26,2012-08-06,214.17999999999998,385.79999999999995,0.02,0.0,0.0,41 days 00:00:00.000000000
157,1023,2012-12-04,2013-02-11,688.23,311.77,0.0,0.0,0.0,69 days 00:00:00.000000000
158,1023,2013-06-25,2013-07-15,298.59000000000003,1.41,0.0,0.0,0.0,20 days 00:00:00.000000000
159,1023,2013-09-17,2013-09-30,137.6,62.4,0.0,0.0,0.0,13 days 00:00:00.000000000
160,1023,2014-01-28,2014-02-10,0.0,200.0,0.0,0.0,0.0,13 days 00:00:00.000000000
161,1023,2014-08-05,2015-04-20,1784.14,1235.6899999999998,680.17,0.0,0.0,258 days 00:00:00.000000000
162,1023,2015-05-05,2015-05-18,173.07999999999998,26.92,0.0,0.0,0.0,13 days 00:00:00.000000000
163,1023,2015-08-11,2015-11-02,471.62,500.84,227.54,0.0,0.0,83 days 00:00:00.000000000
164,1023,2016-05-24,2017-05-08,684.1899999999999,2686.8,633.85,472.43999999999994,0.0,349 days 00:00:00.000000000
165,1023,2017-10-17,2018-01-01,83.67000000000002,591.6800000000001,424.65,0.0,0.0,76 days 00:00:00.000000000
166,1025,2010-04-27,2010-05-03,5.189999999999999,94.81,0.0,0.0,0.0,6 days 00:00:00.000000000
167,1025,2010-07-06,2011-10-03,1063.72,1516.6599999999996,1870.0600000000002,1621.1499999999994,0.0,454 days 00:00:00.000000000
168,1025,2011-10-18,2012-06-11,608.86,1953.05,829.1099999999996,8.98,0.0,237 days 00:00:00.000000000
169,1025,2012-06-26,2012-08-06,19.990000000000023,580.0100000000001,0.0,0.0,0.0,41 days 00:00:00.000000000
170,1025,2012-11-06,2013-02-25,521.37,1078.63,0.0,0.0,0.0,111 days 00:00:00.000000000
171,1025,2013-03-12,2013-04-15,488.78999999999996,11.209999999999999,0.0,0.0,0.0,34 days 00:00:00.000000000
172,1025,2013-06-04,2013-07-15,323.39,276.61,0.0,0.0,0.0,41 days 00:00:00.000000000
173,1025,2013-10-29,2013-11-25,341.51000000000005,58.489999999999995,0.0,0.0,0.0,27 days 00:00:00.000000000
174,1025,2013-12-03,2013-12-23,233.96,66.04,0.0,0.0,0.0,20 days 00:00:00.000000000
175,1025,2014-01-28,2014-02-17,147.56,152.44,0.0,0.0,0.0,20 days 00:00:00.000000000
176,1025,2014-08-19,2015-05-18,830.0200000000002,2481.74,588.24,0.0,0.0,272 days 00:00:00.000000000
177,1025,2015-08-04,2015-11-09,436.02,801.82,162.16000000000003,0.0,0.0,97 days 00:00:00.000000000
178,1025,2016-06-21,2016-07-11,295.78,4.22,0.0,0.0,0.0,20 days 00:00:00.000000000
179,1025,2016-08-02,2016-08-22,296.57000000000005,3.4299999999999997,0.0,0.0,0.0,20 days 00:00:00.000000000
180,1025,2016-09-13,2017-05-08,944.32,1113.3999999999999,358.44,508.12,0.0,237 days 00:00:00.000000000
181,1025,2017-10-17,2018-01-01,628.5799999999999,461.58000000000004,9.84,0.0,0.0,76 days 00:00:00.000000000
182,1027,2010-07-06,2013-03-04,529.0599999999998,2590.330000000002,4919.320000000003,2617.5299999999997,443.36000000000007,972 days 00:00:00.000000000
183,1027,2013-11-05,2013-12-09,407.95000000000005,92.05,0.0,0.0,0.0,34 days 00:00:00.000000000
184,1027,2014-03-04,2014-04-07,10.149999999999991,489.85,0.0,0.0,0.0,34 days 00:00:00.000000000
185,1027,2014-07-15,2015-01-05,65.38000000000002,989.7499999999994,985.1300000000003,459.73999999999995,0.0,174 days 00:00:00.000000000
186,1027,2015-01-20,2015-06-15,830.7399999999997,1269.2600000000002,0.0,0.0,0.0,146 days 00:00:00.000000000
187,1027,2015-06-30,2015-07-06,70.75,29.25,0.0,0.0,0.0,6 days 00:00:00.000000000
188,1027,2015-07-21,2015-11-02,168.99,1331.0100000000002,0.0,0.0,0.0,104 days 00:00:00.000000000
189,1027,2016-05-17,2017-05-29,85.39000000000001,655.02,2162.9900000000007,1209.81,763.57,377 days 00:00:00.000000000
190,1027,2017-11-28,2018-01-01,218.54,281.46000000000004,0.0,0.0,0.0,34 days 00:00:00.000000000
191,1029,2010-07-06,2013-03-11,2236.6800000000003,3886.57,4977.829999999997,2212.0800000000004,0.0,979 days 00:00:00.000000000
192,1029,2014-03-04,2014-04-07,226.57999999999998,273.42,0.0,0.0,0.0,34 days 00:00:00.000000000
193,1029,2014-07-15,2014-12-29,782.26,1505.6699999999998,112.07000000000002,0.0,0.0,167 days 00:00:00.000000000
194,1029,2015-03-31,2015-06-01,863.8499999999998,36.15,0.0,0.0,0.0,62 days 00:00:00.000000000
195,1029,2015-06-23,2015-07-06,76.84,123.16,0.0,0.0,0.0,13 days 00:00:00.000000000
196,1029,2015-08-04,2015-11-02,161.73000000000002,1120.65,17.62,0.0,0.0,90 days 00:00:00.000000000
197,1029,2016-05-03,2017-05-22,78.42,536.9000000000001,1113.94,2176.56,1006.45,384 days 00:00:00.000000000
198,1029,2017-12-19,2018-01-01,5.739999999999995,194.26,0.0,0.0,0.0,13 days 00:00:00.000000000
199,1031,2010-04-06,2010-05-03,10.97999999999999,389.02,0.0,0.0,0.0,27 days 00:00:00.000000000
200,1031,2010-07-06,2012-09-03,472.5699999999999,900.8699999999999,2299.7600000000007,3875.540000000001,322.6500000000002,790 days 00:00:00.000000000
201,1031,2012-10-16,2013-02-25,178.14,311.81,1134.2399999999998,275.81,0.0,132 days 00:00:00.000000000
202,1031,2013-05-21,2013-06-24,85.25,407.67,7.08,0.0,0.0,34 days 00:00:00.000000000
203,1031,2013-11-05,2013-12-30,659.47,140.2,0.33,0.0,0.0,55 days 00:00:00.000000000
204,1031,2014-01-07,2014-01-13,92.28,7.72,0.0,0.0,0.0,6 days 00:00:00.000000000
205,1031,2014-01-28,2014-02-17,279.33,20.669999999999998,0.0,0.0,0.0,20 days 00:00:00.000000000
206,1031,2014-03-11,2014-04-07,233.68,166.32,0.0,0.0,0.0,27 days 00:00:00.000000000
207,1031,2014-07-08,2014-07-21,18.299999999999997,181.7,0.0,0.0,0.0,13 days 00:00:00.000000000
208,1031,2014-07-29,2015-05-25,759.4699999999997,3177.8299999999986,352.96999999999997,9.729999999999999,0.0,300 days 00:00:00.000000000
209,1031,2015-07-21,2015-10-05,0.7499999999999858,440.81,658.44,0.0,0.0,76 days 00:00:00.000000000
210,1031,2015-10-20,2015-11-02,159.86,40.14,0.0,0.0,0.0,13 days 00:00:00.000000000
211,1031,2015-12-15,2015-12-21,99.91,0.09,0.0,0.0,0.0,6 days 00:00:00.000000000
212,1031,2016-08-30,2016-09-05,99.81,0.19,0.0,0.0,0.0,6 days 00:00:00.000000000
213,1031,2016-09-13,2017-01-02,379.2,118.47999999999999,442.26000000000005,399.12,0.0,111 days 00:00:00.000000000
214,1031,2017-03-28,2017-05-29,38.59,371.67999999999995,489.73,0.0,0.0,62 days 00:00:00.000000000
215,1031,2017-11-28,2018-01-01,0.0,404.23,95.77000000000001,0.0,0.0,34 days 00:00:00.000000000
216,1033,2010-03-09,2010-03-15,0.0,100.0,0.0,0.0,0.0,6 days 00:00:00.000000000
217,1033,2010-04-13,2010-05-03,91.47,208.53,0.0,0.0,0.0,20 days 00:00:00.000000000
218,1033,2010-07-27,2010-08-16,102.84999999999998,197.15000000000003,0.0,0.0,0.0,20 days 00:00:00.000000000
219,1033,2010-09-21,2011-02-07,140.26000000000005,1356.02,503.71999999999997,0.0,0.0,139 days 00:00:00.000000000
220,1033,2011-02-15,2011-04-25,188.03,311.97,500.0,0.0,0.0,69 days 00:00:00.000000000
221,1033,2011-06-14,2011-07-04,143.0,157.0,0.0,0.0,0.0,20 days 00:00:00.000000000
222,1033,2011-08-02,2011-08-08,0.0,100.0,0.0,0.0,0.0,6 days 00:00:00.000000000
223,1033,2011-08-30,2011-09-05,48.35,51.65,0.0,0.0,0.0,6 days 00:00:00.000000000
224,1033,2011-10-18,2011-12-05,82.52000000000001,617.48,0.0,0.0,0.0,48 days 00:00:00.000000000
225,1033,2012-04-10,2012-10-08,444.46999999999997,1378.9100000000003,660.51,116.11,0.0,181 days 00:00:00.000000000
226,1033,2012-11-27,2013-01-14,27.829999999999984,672.17,0.0,0.0,0.0,48 days 00:00:00.000000000
227,1033,2014-01-28,2014-07-14,425.09999999999997,1495.2299999999998,479.67,0.0,0.0,167 days 00:00:00.000000000
228,1033,2014-09-16,2014-10-13,317.65999999999997,82.34,0.0,0.0,0.0,27 days 00:00:00.000000000
229,1033,2015-02-10,2015-03-23,266.12,333.88,0.0,0.0,0.0,41 days 00:00:00.000000000
230,1033,2015-05-12,2015-05-25,0.6200000000000045,199.38,0.0,0.0,0.0,13 days 00:00:00.000000000
231,1033,2015-06-23,2015-07-06,183.68,16.31,0.01,0.0,0.0,13 days 00:00:00.000000000
