,fips,valid_start,valid_end,none,d0,d1,d2,d3,d4,diff
165,1023,2017-10-17,2018-01-01,16.734,118.33600000000001,84.92999999999999,0.0,0.0,0.0,76 days 00:00:00.000000000
166,1025,2010-04-27,2010-05-03,5.189999999999999,94.81,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
167,1025,2010-07-06,2011-10-03,212.744,303.33199999999994,374.01200000000006,324.2299999999999,85.68200000000002,0.0,454 days 00:00:00.000000000
168,1025,2011-10-18,2012-06-11,152.215,488.2625,207.2774999999999,2.245,0.0,0.0,237 days 00:00:00.000000000
169,1025,2012-06-26,2012-08-06,3.3316666666666706,96.66833333333335,0.0,0.0,0.0,0.0,41 days 00:00:00.000000000
170,1025,2012-11-06,2013-02-25,130.3425,269.6575,0.0,0.0,0.0,0.0,111 days 00:00:00.000000000
171,1025,2013-03-12,2013-04-15,97.758,2.242,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
172,1025,2013-06-04,2013-07-15,53.89833333333333,46.10166666666667,0.0,0.0,0.0,0.0,41 days 00:00:00.000000000
173,1025,2013-10-29,2013-11-25,85.37750000000001,14.622499999999999,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
174,1025,2013-12-03,2013-12-23,77.98666666666666,22.013333333333335,0.0,0.0,0.0,0.0,20 days 00:00:00.000000000
175,1025,2014-01-28,2014-02-17,49.18666666666667,50.81333333333333,0.0,0.0,0.0,0.0,20 days 00:00:00.000000000
176,1025,2014-08-19,2015-05-18,276.6733333333334,827.2466666666666,196.08,0.0,0.0,0.0,272 days 00:00:00.000000000
177,1025,2015-08-04,2015-11-09,218.01,400.91,81.08000000000001,0.0,0.0,0.0,97 days 00:00:00.000000000
178,1025,2016-06-21,2016-07-11,98.59333333333332,1.4066666666666665,0.0,0.0,0.0,0.0,20 days 00:00:00.000000000
179,1025,2016-08-02,2016-08-22,98.85666666666668,1.1433333333333333,0.0,0.0,0.0,0.0,20 days 00:00:00.000000000
180,1025,2016-09-13,2017-05-08,236.08,278.34999999999997,89.61,127.03,118.93,0.0,237 days 00:00:00.000000000
181,1025,2017-10-17,2018-01-01,125.71599999999998,92.316,1.968,0.0,0.0,0.0,76 days 00:00:00.000000000
182,1027,2010-07-06,2013-03-04,529.0599999999998,2590.330000000002,4919.320000000003,2617.5299999999997,2800.52,443.36000000000007,972 days 00:00:00.000000000
183,1027,2013-11-05,2013-12-09,81.59,18.41,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
184,1027,2014-03-04,2014-04-07,2.0299999999999985,97.97,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
185,1027,2014-07-15,2015-01-05,65.38000000000002,989.7499999999994,985.1300000000003,459.73999999999995,0.0,0.0,174 days 00:00:00.000000000
186,1027,2015-01-20,2015-06-15,276.91333333333324,423.08666666666676,0.0,0.0,0.0,0.0,146 days 00:00:00.000000000
187,1027,2015-06-30,2015-07-06,70.75,29.25,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
188,1027,2015-07-21,2015-11-02,56.330000000000005,443.6700000000001,0.0,0.0,0.0,0.0,104 days 00:00:00.000000000
189,1027,2016-05-17,2017-05-29,14.23166666666667,109.17,360.49833333333345,201.635,87.19999999999999,127.26166666666667,377 days 00:00:00.000000000
190,1027,2017-11-28,2018-01-01,43.708,56.29200000000001,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
191,1029,2010-07-06,2013-03-11,1118.3400000000001,1943.285,2488.9149999999986,1106.0400000000002,343.4149999999999,0.0,979 days 00:00:00.000000000
192,1029,2014-03-04,2014-04-07,45.315999999999995,54.684000000000005,0.0,0.0,0.0,0.0,34 days 00:00:00.000000000
193,1029,2014-07-15,2014-12-29,130.37666666666667,250.94499999999996,18.678333333333338,0.0,0.0,0.0,167 days 00:00:00.000000000
194,1029,2015-03-31,2015-06-01,287.94999999999993,12.049999999999999,0.0,0.0,0.0,0.0,62 days 00:00:00.000000000
195,1029,2015-06-23,2015-07-06,38.42,61.58,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000
196,1029,2015-08-04,2015-11-02,161.73000000000002,1120.65,17.62,0.0,0.0,0.0,90 days 00:00:00.000000000
197,1029,2016-05-03,2017-05-22,78.42,536.9000000000001,1113.94,2176.56,587.74,1006.45,384 days 00:00:00.000000000
198,1029,2017-12-19,2018-01-01,2.8699999999999974,97.13,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000
199,1031,2010-04-06,2010-05-03,2.7449999999999974,97.255,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
200,1031,2010-07-06,2012-09-03,94.51399999999998,180.17399999999998,459.9520000000001,775.1080000000002,685.7220000000004,64.53000000000004,790 days 00:00:00.000000000
201,1031,2012-10-16,2013-02-25,178.14,311.81,1134.2399999999998,275.81,0.0,0.0,132 days 00:00:00.000000000
202,1031,2013-05-21,2013-06-24,17.05,81.534,1.416,0.0,0.0,0.0,34 days 00:00:00.000000000
203,1031,2013-11-05,2013-12-30,329.735,70.1,0.165,0.0,0.0,0.0,55 days 00:00:00.000000000
